_CORR_ANS,item_1,_tripletid,file_1,onset_1,offset_1,word_1,speaker_1,CV_1,context_1,phone_1,_target_other,context_2,CV_2,file_2,item_2,offset_2,onset_2,phone_2,speaker_2,word_2
A,Fsakshi1_34,stimulus_36_A,raw_data/wav/Fsakshi1.wav,106.32,106.73194,ADRA,Fsakshi1,C,I,ɖ,TGT,I,C,raw_data/wav/Mnirbhay1.wav,Mnirbhay1_34,276.7203,276.27178,ɖ,Mnirbhay1,ADRA
B,Mrajesh1_36,stimulus_37_B,raw_data/wav/Mrajesh1.wav,158.2176,158.51,ADRA,Mrajesh1,C,I,ɖ,TGT,I,C,raw_data/wav/FNiralee1.wav,FNiralee1_36,158.51,158.13423,ɖ,FNiralee1,ADRA
B,Fsakshi1_42,stimulus_38_B,raw_data/wav/Fsakshi1.wav,133.54,133.9,ATA,Fsakshi1,C,I,t,TGT,I,C,raw_data/wav/Mrajesh2.wav,Mrajesh2_42,162.57,162.15,t,Mrajesh2,ATA
B,Mrajesh2_48,stimulus_39_B,raw_data/wav/Mrajesh2.wav,183.18347,183.68,ADA,Mrajesh2,C,I,d,TGT,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_39,107.66,107.24923,ɖʱ,Fsakshi2,ADRHA
A,Mnirbhay2_39,stimulus_40_A,raw_data/wav/Mnirbhay2.wav,256.08874,256.6,ADRHA,Mnirbhay2,C,I,ɖʱ,TGT,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_39,107.66,107.24923,ɖʱ,Fsakshi2,ADRHA
B,Mnirbhay2_38,stimulus_41_B,raw_data/wav/Mnirbhay2.wav,254.09,254.56,ADRHA,Mnirbhay2,C,I,ɖʱ,TGT,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_38,105.91,105.49903,ɖʱ,Fsakshi2,ADRHA
B,Fsakshi1_47,stimulus_42_B,raw_data/wav/Fsakshi1.wav,146.99549,147.34769,ADA,Fsakshi1,C,I,d,TGT,I,C,raw_data/wav/Mrajesh1.wav,Mrajesh1_47,203.28,203.00796,d,Mrajesh1,ADA
B,Mrajesh2_41,stimulus_43_B,raw_data/wav/Mrajesh2.wav,158.66,159.14,ATA,Mrajesh2,C,I,t,TGT,I,C,raw_data/wav/Fsakshi1.wav,Fsakshi1_37,114.96725,114.55256,ɖʱ,Fsakshi1,ADRHA
A,Mrajesh1_38,stimulus_44_A,"NA",NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,"NA",Fsakshi1_38,NA,NA,NA,NA,NA
B,Fsakshi2_38,stimulus_45_B,"NA",NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,"NA",Mrajesh1_38,NA,NA,NA,NA,NA
B,FNiralee1_40,stimulus_46_B,raw_data/wav/FNiralee1.wav,177.80607,178.19,ATA,FNiralee1,C,I,t,TGT,I,C,raw_data/wav/Mrajesh1.wav,Mrajesh1_40,178.19,177.79,t,Mrajesh1,ATA
B,Mnirbhay1_19,stimulus_47_B,raw_data/wav/Mnirbhay1.wav,160.07458,160.54616,ADXA,Mnirbhay1,C,I,d͡ʒ,TGT,I,C,raw_data/wav/Fsakshi2.wav,Fsakshi2_27,78.55,78.20262,d͡ʒʱ,Fsakshi2,ADXHA
A,FNiralee1_26,stimulus_48_A,raw_data/wav/FNiralee1.wav,118.83502,119.24174,ADXHA,FNiralee1,C,I,d͡ʒʱ,TGT,I,C,raw_data/wav/Mnirbhay2.wav,Mnirbhay2_26,169.23984,168.79,d͡ʒʱ,Mnirbhay2,ADXHA
B,Mnirbhay2_26,stimulus_49_B,raw_data/wav/Mnirbhay2.wav,168.79,169.23984,ADXHA,Mnirbhay2,C,I,d͡ʒʱ,TGT,I,C,raw_data/wav/Fbhavya2.wav,Fbhavya2_26,96.49,95.94,d͡ʒʱ,Fbhavya2,ADXHA
B,Fbhavya2_21,stimulus_50_B,"NA",NA,NA,NA,NA,NA,NA,NA,TGT,NA,NA,"NA",Mrajesh1_21,NA,NA,NA,NA,NA
