AB_Order,speaker_X,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,phone_X,language_X,triplet_id,distance_OTH,file_OTH,interval_OTH,item_OTH,language_OTH,offset_OTH,onset_OTH,phone_OTH,sex_OTH,speaker_OTH,word_OTH,distance_TGT,file_TGT,interval_TGT,item_TGT,language_TGT,offset_TGT,onset_TGT,phone_TGT,sex_TGT,speaker_TGT,word_TGT
OthTgt,Fbhavya,stimuli_raw/wav/Fbhavya1.wav,38.87,39.26,Fbhavya1_4,AKHA,4,F,kʰ,ENG,t_0750088,0.395224414670542,stimuli_raw/wav/Mnirbhay1.wav,108,Mnirbhay1_108,HIN,764.31886,763.84005,ɳ,M,Mnirbhay,ANRA,0.242870700897732,stimuli_raw/wav/Mrajesh2.wav,6,Mrajesh2_6,ENG,22.99,22.59172,kʰ,M,Mrajesh,AKHA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,48.62,49.04,Mnirbhay1_9,AGA,9,M,g,ENG,t_0586212,0.292633926220452,stimuli_raw/wav/FNiralee1.wav,12,FNiralee1_12,HIN,108.69767,108.19187,ɡʱ,F,FNiralee,AGHA,0.247835376932351,stimuli_raw/wav/Fbhavya2.wav,8,Fbhavya2_8,ENG,31.77,31.39,g,F,Fbhavya,AGA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,55.35,55.77,Mrajesh1_8,AGA,8,M,g,ENG,t_0879023,0.290538593789322,stimuli_raw/wav/Fbhavya2.wav,11,Fbhavya2_11,HIN,39.98945,39.61802,ɡʱ,F,Fbhavya,AGHA,0.234880709940946,stimuli_raw/wav/FNiralee1.wav,9,FNiralee1_9,ENG,91.33874,90.87186,g,F,FNiralee,AGA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,53.57,54.03,Mrajesh1_7,AGA,7,M,g,ENG,t_0588325,0.280169407475557,stimuli_raw/wav/Fsakshi1.wav,25,Fsakshi1_25,HIN,99.94,99.57696,d͡ʒʱ,F,Fsakshi,ADXHA,0.230420092906163,stimuli_raw/wav/Fbhavya2.wav,9,Fbhavya2_9,ENG,33.89,33.5,g,F,Fbhavya,AGA
OthTgt,Fbhavya,stimuli_raw/wav/Fbhavya2.wav,29.04,29.4414,Fbhavya2_7,AGA,7,F,g,ENG,t_0004615,0.319747858848882,stimuli_raw/wav/Mnirbhay1.wav,26,Mnirbhay1_26,HIN,169.23984,168.79,d͡ʒʱ,M,Mnirbhay,ADXHA,0.244627988080696,stimuli_raw/wav/Mrajesh1.wav,7,Mrajesh1_7,ENG,54.03,53.57,g,M,Mrajesh,AGA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,48.62,49.04,Mnirbhay1_9,AGA,9,M,g,ENG,t_1338867,0.347180010613812,stimuli_raw/wav/Fbhavya2.wav,33,Fbhavya2_33,HIN,102.51782,102.11446,ʈʰ,F,Fbhavya,ATRHA,0.211018212326339,stimuli_raw/wav/Fsakshi1.wav,8,Fsakshi1_8,ENG,45.92,45.49,g,F,Fsakshi,AGA
OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,28.74,29.3642,FNiralee2_8,AGA,8,F,g,ENG,t_0750221,0.331308011484996,stimuli_raw/wav/Mnirbhay2.wav,32,Mnirbhay2_32,HIN,123.68,123.11,ʈʰ,M,Mnirbhay,ATRHA,0.306401062040534,stimuli_raw/wav/Mrajesh2.wav,7,Mrajesh2_7,ENG,27.3,26.89984,g,M,Mrajesh,AGA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,28.49,28.97,Mnirbhay2_7,AGA,7,M,g,ENG,t_0879577,0.299876691528128,stimuli_raw/wav/Fbhavya1.wav,36,Fbhavya1_36,HIN,248.26,247.88,ɖ,F,Fbhavya,ADRA,0.221040042198281,stimuli_raw/wav/FNiralee1.wav,9,FNiralee1_9,ENG,91.33874,90.87186,g,F,FNiralee,AGA
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,48.62,49.04,Mnirbhay1_9,AGA,9,M,g,ENG,t_1338891,0.311183753550237,stimuli_raw/wav/Fbhavya2.wav,35,Fbhavya2_35,HIN,108.66723,108.32,ɖ,F,Fbhavya,ADRA,0.211018212326339,stimuli_raw/wav/Fsakshi1.wav,8,Fsakshi1_8,ENG,45.92,45.49,g,F,Fsakshi,AGA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,46.7,47.11,Mnirbhay1_8,AGA,8,M,g,ENG,t_1172441,0.289783076305796,stimuli_raw/wav/FNiralee2.wav,38,FNiralee2_38,HIN,135.24376,134.74537,ɖʱ,F,FNiralee,ADRHA,0.247841407141721,stimuli_raw/wav/Fbhavya1.wav,9,Fbhavya1_9,ENG,60.69581,60.24,g,F,Fbhavya,AGA
