AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,phone_1,language_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,phone_2,sex_2,speaker_2,word_2,distance
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,28.58212,28.97,Mrajesh2_8,AGA,8,M,g,ENG,t_1172786,TGT,stimuli_raw/wav/Fbhavya1.wav,9,Fbhavya1_9,ENG,60.695809999999994,60.24,g,False,Fbhavya,AGA,0.32561824102064996
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,55.35,55.77,Mrajesh1_8,AGA,8,M,g,ENG,t_0585914,TGT,stimuli_raw/wav/Fbhavya2.wav,8,Fbhavya2_8,ENG,31.77,31.39,g,False,Fbhavya,AGA,0.30019409132090563
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,48.62,49.04,Mnirbhay1_9,AGA,9,M,g,ENG,t_1340607,TGT,stimuli_raw/wav/Fsakshi1.wav,9,Fsakshi1_9,ENG,48.16,47.72,g,False,Fsakshi,AGA,0.3576892025637162
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,46.7,47.11,Mnirbhay1_8,AGA,8,M,g,ENG,t_1337198,TGT,stimuli_raw/wav/Fsakshi1.wav,7,Fsakshi1_7,ENG,43.75,43.3,g,False,Fsakshi,AGA,0.3289058467779564
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,28.58212,28.97,Mrajesh2_8,AGA,8,M,g,ENG,t_1172054,TGT,stimuli_raw/wav/Fbhavya1.wav,8,Fbhavya1_8,ENG,58.61,58.22,g,False,Fbhavya,AGA,0.3281571763341156
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,31.56,32.06,Mnirbhay2_8,AGA,8,M,g,ENG,t_0292544,TGT,stimuli_raw/wav/Fsakshi2.wav,7,Fsakshi2_7,ENG,50.78,50.35,g,False,Fsakshi,AGA,0.35916194674111523
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,53.57,54.03,Mrajesh1_7,AGA,7,M,g,ENG,t_0586813,TGT,stimuli_raw/wav/Fbhavya2.wav,8,Fbhavya2_8,ENG,31.77,31.39,g,False,Fbhavya,AGA,0.2901329997245289
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,57.22747,57.630109999999995,Mrajesh1_9,AGA,9,M,g,ENG,t_1172937,TGT,stimuli_raw/wav/Fbhavya1.wav,9,Fbhavya1_9,ENG,60.695809999999994,60.24,g,False,Fbhavya,AGA,0.3276339634970222
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,44.81,45.27,Mnirbhay1_7,AGA,7,M,g,ENG,t_0292573,TGT,stimuli_raw/wav/Fsakshi2.wav,7,Fsakshi2_7,ENG,50.78,50.35,g,False,Fsakshi,AGA,0.3590011870199354
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,46.7,47.11,Mnirbhay1_8,AGA,8,M,g,ENG,t_1341602,TGT,stimuli_raw/wav/Fsakshi1.wav,9,Fsakshi1_9,ENG,48.16,47.72,g,False,Fsakshi,AGA,0.33564854740881156
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,57.22747,57.630109999999995,Mrajesh1_9,AGA,9,M,g,ENG,t_1171281,TGT,stimuli_raw/wav/Fbhavya1.wav,8,Fbhavya1_8,ENG,58.61,58.22,g,False,Fbhavya,AGA,0.3307930768768002
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,34.74,35.22,Mnirbhay2_9,AGA,9,M,g,ENG,t_0295197,TGT,stimuli_raw/wav/Fsakshi2.wav,9,Fsakshi2_9,ENG,55.01,54.52,g,False,Fsakshi,AGA,0.353995238197141
