#file onset offset #item word interval
stimuli_raw/wav/FNiralee2.wav 123.68566 124.18170 FNiralee2_34 ADRA 34
stimuli_raw/wav/FNiralee2.wav 126.16475 126.67610 FNiralee2_35 ADRA 35
stimuli_raw/wav/FNiralee2.wav 128.58537 129.07547 FNiralee2_36 ADRA 36
stimuli_raw/wav/FNiralee2.wav 132.37637 132.92090 FNiralee2_37 ADRHA 37
stimuli_raw/wav/FNiralee2.wav 134.74537 135.24376 FNiralee2_38 ADRHA 38
stimuli_raw/wav/FNiralee2.wav 137.22415 137.75000 FNiralee2_39 ADRHA 39
stimuli_raw/wav/FNiralee2.wav 142.17883 142.66000 FNiralee2_40 ATA 40
stimuli_raw/wav/FNiralee2.wav 144.49948 144.97000 FNiralee2_41 ATA 41
stimuli_raw/wav/FNiralee2.wav 146.97000 147.47000 FNiralee2_42 ATA 42
stimuli_raw/wav/FNiralee2.wav 151.12130 151.60000 FNiralee2_43 ATHA 43
stimuli_raw/wav/FNiralee2.wav 153.30776 153.79000 FNiralee2_44 ATHA 44
stimuli_raw/wav/FNiralee2.wav 155.72736 156.25828 FNiralee2_45 ATHA 45
stimuli_raw/wav/FNiralee2.wav 159.21717 159.69337 FNiralee2_46 ADA 46
stimuli_raw/wav/FNiralee2.wav 162.01984 162.44044 FNiralee2_47 ADA 47
stimuli_raw/wav/FNiralee2.wav 164.70264 165.19000 FNiralee2_48 ADA 48
stimuli_raw/wav/FNiralee2.wav 173.71177 174.24000 FNiralee2_49 ADHA 49
stimuli_raw/wav/FNiralee2.wav 176.12967 176.65000 FNiralee2_50 ADHA 50
stimuli_raw/wav/FNiralee2.wav 178.52405 179.07000 FNiralee2_51 ADHA 51
stimuli_raw/wav/FNiralee2.wav 182.63703 183.07000 FNiralee2_52 ANA 52
stimuli_raw/wav/FNiralee2.wav 184.88000 185.38000 FNiralee2_53 ANA 53
stimuli_raw/wav/FNiralee2.wav 187.14128 187.65000 FNiralee2_54 ANA 54
stimuli_raw/wav/FNiralee2.wav 190.85000 191.32478 FNiralee2_55 APA 55
stimuli_raw/wav/FNiralee2.wav 193.17000 193.67000 FNiralee2_56 APA 56
stimuli_raw/wav/FNiralee2.wav 195.58000 196.06000 FNiralee2_57 APA 57
stimuli_raw/wav/FNiralee2.wav 199.15000 199.71959 FNiralee2_58 APHA 58
stimuli_raw/wav/FNiralee2.wav 201.59388 202.08000 FNiralee2_59 APHA 59
stimuli_raw/wav/FNiralee2.wav 203.98040 204.54632 FNiralee2_60 APHA 60
stimuli_raw/wav/FNiralee2.wav 208.52112 209.03307 FNiralee2_61 ABA 61
stimuli_raw/wav/FNiralee2.wav 210.86227 211.32000 FNiralee2_62 ABA 62
