#file,onset,offset,#item,word,interval,speaker,sex,phone,language
stimuli_raw/wav/FNiralee2.wav,83.330000,83.894510,FNiralee2_24,AZA,24,FNiralee,F,z,ENG
stimuli_raw/wav/FNiralee2.wav,93.500000,94.091030,FNiralee2_25,ADXHA,25,FNiralee,F,d͡ʒʱ,HIN
stimuli_raw/wav/FNiralee2.wav,95.940000,96.490000,FNiralee2_26,ADXHA,26,FNiralee,F,d͡ʒʱ,HIN
stimuli_raw/wav/FNiralee2.wav,98.266820,98.820000,FNiralee2_27,ADXHA,27,FNiralee,F,d͡ʒʱ,HIN
stimuli_raw/wav/FNiralee2.wav,102.255330,102.758260,FNiralee2_28,ATRA,28,FNiralee,F,ʈ,NA
stimuli_raw/wav/FNiralee2.wav,104.500000,105.010000,FNiralee2_29,ATRA,29,FNiralee,F,ʈ,NA
stimuli_raw/wav/FNiralee2.wav,106.865480,107.360000,FNiralee2_30,ATRA,30,FNiralee,F,ʈ,NA
stimuli_raw/wav/FNiralee2.wav,114.909410,115.430000,FNiralee2_31,ATRHA,31,FNiralee,F,ʈʰ,HIN
stimuli_raw/wav/FNiralee2.wav,117.367690,117.900000,FNiralee2_32,ATRHA,32,FNiralee,F,ʈʰ,HIN
stimuli_raw/wav/FNiralee2.wav,119.820040,120.372260,FNiralee2_33,ATRHA,33,FNiralee,F,ʈʰ,HIN
stimuli_raw/wav/FNiralee2.wav,123.685660,124.181700,FNiralee2_34,ADRA,34,FNiralee,F,ɖ,HIN
stimuli_raw/wav/FNiralee2.wav,126.164750,126.676100,FNiralee2_35,ADRA,35,FNiralee,F,ɖ,HIN
stimuli_raw/wav/FNiralee2.wav,128.585370,129.075470,FNiralee2_36,ADRA,36,FNiralee,F,ɖ,HIN
stimuli_raw/wav/FNiralee2.wav,132.376370,132.920900,FNiralee2_37,ADRHA,37,FNiralee,F,ɖʱ,HIN
stimuli_raw/wav/FNiralee2.wav,134.745370,135.243760,FNiralee2_38,ADRHA,38,FNiralee,F,ɖʱ,HIN
stimuli_raw/wav/FNiralee2.wav,137.224150,137.750000,FNiralee2_39,ADRHA,39,FNiralee,F,ɖʱ,HIN
stimuli_raw/wav/FNiralee2.wav,142.178830,142.660000,FNiralee2_40,ATA,40,FNiralee,F,t,NA
stimuli_raw/wav/FNiralee2.wav,144.499480,144.970000,FNiralee2_41,ATA,41,FNiralee,F,t,NA
stimuli_raw/wav/FNiralee2.wav,146.970000,147.470000,FNiralee2_42,ATA,42,FNiralee,F,t,NA
stimuli_raw/wav/FNiralee2.wav,151.121300,151.600000,FNiralee2_43,ATHA,43,FNiralee,F,tʰ,ENG
stimuli_raw/wav/FNiralee2.wav,153.307760,153.790000,FNiralee2_44,ATHA,44,FNiralee,F,tʰ,ENG
stimuli_raw/wav/FNiralee2.wav,155.727360,156.258280,FNiralee2_45,ATHA,45,FNiralee,F,tʰ,ENG
stimuli_raw/wav/FNiralee2.wav,159.217170,159.693370,FNiralee2_46,ADA,46,FNiralee,F,d,ENG
stimuli_raw/wav/FNiralee2.wav,162.019840,162.440440,FNiralee2_47,ADA,47,FNiralee,F,d,ENG
stimuli_raw/wav/FNiralee2.wav,164.702640,165.190000,FNiralee2_48,ADA,48,FNiralee,F,d,ENG
stimuli_raw/wav/FNiralee2.wav,173.711770,174.240000,FNiralee2_49,ADHA,49,FNiralee,F,dʱ,HIN
stimuli_raw/wav/FNiralee2.wav,176.129670,176.650000,FNiralee2_50,ADHA,50,FNiralee,F,dʱ,HIN
stimuli_raw/wav/FNiralee2.wav,178.524050,179.070000,FNiralee2_51,ADHA,51,FNiralee,F,dʱ,HIN
stimuli_raw/wav/FNiralee2.wav,182.637030,183.070000,FNiralee2_52,ANA,52,FNiralee,F,n,ENG
stimuli_raw/wav/FNiralee2.wav,184.880000,185.380000,FNiralee2_53,ANA,53,FNiralee,F,n,ENG
stimuli_raw/wav/FNiralee2.wav,187.141280,187.650000,FNiralee2_54,ANA,54,FNiralee,F,n,ENG
