m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Econ+Glob+Loc,-0.01,-0.01,0,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,7374.153280483792
Econ+Glob,-0.01,-0.01,0,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,1956.5168896666728
Econ+Loc,-0.01,-0.01,0,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,1478.0000171568245
Glob+Loc,-0.01,-0.01,0,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,4769.071259413846
Econ,-0.01,-0.01,0,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,2209.856774577871
Glob,-0.01,-0.01,0,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,9811.925405054819
Loc,-0.01,-0.01,0,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,8020.476026949706
,-0.01,-0.01,0,dinst10,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst10/econ_-0.01_loc_-0.01_glob_0.csv,2050.8174899360165
Econ+Glob+Loc,0,-0.01,0,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,1659.557018717518
Econ+Glob,0,-0.01,0,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,3946.580715431832
Econ+Loc,0,-0.01,0,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,1091.8920407709666
Glob+Loc,0,-0.01,0,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,7576.353017370682
Econ,0,-0.01,0,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,7722.5616481502075
Glob,0,-0.01,0,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,5309.462927237619
Loc,0,-0.01,0,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,8124.1005759791005
,0,-0.01,0,dinst10,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst10/econ_0_loc_-0.01_glob_0.csv,3494.3526153729763
Econ+Glob+Loc,0.01,-0.01,0,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_0.csv,2677.4234504471533
Econ+Glob,0.01,-0.01,0,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_0.csv,3973.4635494090617
Econ+Loc,0.01,-0.01,0,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_0.csv,8890.577755142003
Glob+Loc,0.01,-0.01,0,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_0.csv,5197.619328525383
Econ,0.01,-0.01,0,dinst10,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_0.csv,618.161755108973
Glob,0.01,-0.01,0,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_0.csv,2975.089046644978
Loc,0.01,-0.01,0,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_0.csv,1639.603393178666
,0.01,-0.01,0,dinst10,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst10/econ_0.01_loc_-0.01_glob_0.csv,6036.430976862088
Econ+Glob+Loc,-0.01,0,0,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_-0.01_loc_0_glob_0.csv,8018.93666743231
Econ+Glob,-0.01,0,0,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0_glob_0.csv,6020.617210963741
Econ+Loc,-0.01,0,0,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0_glob_0.csv,283.1783007173799
Glob+Loc,-0.01,0,0,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0_glob_0.csv,1372.6913862423971
Econ,-0.01,0,0,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0_glob_0.csv,3220.296539757168
Glob,-0.01,0,0,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0_glob_0.csv,2465.8637937349267
Loc,-0.01,0,0,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0_glob_0.csv,4540.349316463573
,-0.01,0,0,dinst10,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst10/econ_-0.01_loc_0_glob_0.csv,9321.618862827076
Econ+Glob+Loc,0,0,0,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0_loc_0_glob_0.csv,5446.738017888507
Econ+Glob,0,0,0,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0_glob_0.csv,9422.55769492709
Econ+Loc,0,0,0,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0_glob_0.csv,8512.348699213238
Glob+Loc,0,0,0,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0_glob_0.csv,4495.403469226323
Econ,0,0,0,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0_glob_0.csv,9324.75164904329
Glob,0,0,0,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0_glob_0.csv,8522.16395997093
Loc,0,0,0,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0_loc_0_glob_0.csv,2380.4107578359544
,0,0,0,dinst10,hindi,Econ+Glob+Loc,TRUE,stan_models/master_neg.stan,hindi/dinst10/econ_0_loc_0_glob_0.csv,9479.933790647192
Econ+Glob+Loc,0.01,0,0,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_0.01_loc_0_glob_0.csv,923.372039548587
Econ+Glob,0.01,0,0,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0_glob_0.csv,6564.938899841625
Econ+Loc,0.01,0,0,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0_glob_0.csv,1723.8114544677082
Glob+Loc,0.01,0,0,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0_glob_0.csv,5671.8508856839035
Econ,0.01,0,0,dinst10,hindi,Glob+Loc,TRUE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0_glob_0.csv,1458.98917761771
Glob,0.01,0,0,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0_glob_0.csv,371.8758447568398
Loc,0.01,0,0,dinst10,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_0.01_loc_0_glob_0.csv,1798.1501552246045
,0.01,0,0,dinst10,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/dinst10/econ_0.01_loc_0_glob_0.csv,5379.901143210242
Econ+Glob+Loc,-0.01,0.01,0,dinst10,hindi,,FALSE,stan_models/master_pos.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_0.csv,5575.718512868043
Econ+Glob,-0.01,0.01,0,dinst10,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_0.csv,9160.331976771588
Econ+Loc,-0.01,0.01,0,dinst10,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_0.csv,3007.693766385084
Glob+Loc,-0.01,0.01,0,dinst10,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_0.csv,8305.529575396795
Econ,-0.01,0.01,0,dinst10,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_0.csv,212.96539338026196
Glob,-0.01,0.01,0,dinst10,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_0.csv,5936.5079554466065
Loc,-0.01,0.01,0,dinst10,hindi,Econ+Glob,TRUE,stan_models/master_model.stan,hindi/dinst10/econ_-0.01_loc_0.01_glob_0.csv,7268.058040059404
