m_pos_vars,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars,is_correct_model,m_stanfile,csv_filename,seed
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep60.csv,0.6928230252
Econ,10,10,10,reps,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep61.csv,0.2807184738
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep62.csv,0.4061119311
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep63.csv,0.4122496005
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_10_loc_10_glob_10_rep64.csv,0.8885045624
Econ+Glob+Loc,10,10,10,reps,hindi,,TRUE,stan_models/master_pos.stan,hindi/reps/econ_10_loc_10_glob_10_rep65.csv,0.8606066961
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep66.csv,0.2132920272
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep67.csv,0.9352051009
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep68.csv,0.900351899
Econ,10,10,10,reps,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep69.csv,0.7372146145
Glob,10,10,10,reps,hindi,Econ+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep70.csv,0.8910310326
Loc,10,10,10,reps,hindi,Econ+Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep71.csv,0.2006662954
,10,10,10,reps,hindi,Econ+Glob+Loc,FALSE,stan_models/master_neg.stan,hindi/reps/econ_10_loc_10_glob_10_rep72.csv,0.7317988063
Econ+Glob+Loc,10,10,10,reps,hindi,,TRUE,stan_models/master_pos.stan,hindi/reps/econ_10_loc_10_glob_10_rep73.csv,0.4700039482
Econ+Glob,10,10,10,reps,hindi,Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep74.csv,0.5946096579
Econ+Loc,10,10,10,reps,hindi,Glob,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep75.csv,0.3442306904
Glob+Loc,10,10,10,reps,hindi,Econ,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep76.csv,0.3552679738
Econ,10,10,10,reps,hindi,Glob+Loc,FALSE,stan_models/master_model.stan,hindi/reps/econ_10_loc_10_glob_10_rep77.csv,0.8224783992
