_d_experiment,_d_id,_d_coef_econ,_d_coef_loc,_d_coef_glob,_m_pos_vars,_m_neg_vars,_m_stanfile,seed,is_correct_model
hk,dinst1,-1,0,-1,Econ,Glob+Loc,stan_models/master_model.stan,3932.4718397404067,FALSE
hk,dinst1,-1,0,-1,Glob,Econ+Loc,stan_models/master_model.stan,4009.6713076091837,FALSE
hk,dinst1,-1,0,-1,Loc,Econ+Glob,stan_models/master_model.stan,5870.259098615497,FALSE
hk,dinst1,-1,0,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,570.3200450502336,TRUE
hk,dinst1,0,0,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,8321.532809237484,FALSE
hk,dinst1,0,0,-1,Econ+Glob,Loc,stan_models/master_model.stan,6905.911258398322,FALSE
hk,dinst1,0,0,-1,Econ+Loc,Glob,stan_models/master_model.stan,5313.835098359035,FALSE
hk,dinst1,0,0,-1,Glob+Loc,Econ,stan_models/master_model.stan,8566.637434089324,FALSE
hk,dinst1,0,0,-1,Econ,Glob+Loc,stan_models/master_model.stan,5864.058693619445,FALSE
hk,dinst1,0,0,-1,Glob,Econ+Loc,stan_models/master_model.stan,2583.802191368304,FALSE
hk,dinst1,0,0,-1,Loc,Econ+Glob,stan_models/master_model.stan,4692.357881673612,FALSE
hk,dinst1,0,0,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,3413.1807275735773,TRUE
hk,dinst1,1,0,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,2000.8788281066809,FALSE
hk,dinst1,1,0,-1,Econ+Glob,Loc,stan_models/master_model.stan,2948.1199528845027,FALSE
hk,dinst1,1,0,-1,Econ+Loc,Glob,stan_models/master_model.stan,3314.5893619325943,FALSE
hk,dinst1,1,0,-1,Glob+Loc,Econ,stan_models/master_model.stan,7027.99200438289,FALSE
hk,dinst1,1,0,-1,Econ,Glob+Loc,stan_models/master_model.stan,83.43048396799713,TRUE
hk,dinst1,1,0,-1,Glob,Econ+Loc,stan_models/master_model.stan,7610.347641286906,FALSE
hk,dinst1,1,0,-1,Loc,Econ+Glob,stan_models/master_model.stan,7918.928000845015,FALSE
hk,dinst1,1,0,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,3016.1663688924164,FALSE
hk,dinst1,-1,1,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,8156.507537506754,FALSE
hk,dinst1,-1,1,-1,Econ+Glob,Loc,stan_models/master_model.stan,6623.625130623812,FALSE
hk,dinst1,-1,1,-1,Econ+Loc,Glob,stan_models/master_model.stan,8759.862563629169,FALSE
hk,dinst1,-1,1,-1,Glob+Loc,Econ,stan_models/master_model.stan,1369.2114330339245,FALSE
hk,dinst1,-1,1,-1,Econ,Glob+Loc,stan_models/master_model.stan,4015.6723224131856,FALSE
hk,dinst1,-1,1,-1,Glob,Econ+Loc,stan_models/master_model.stan,697.0125837882515,FALSE
hk,dinst1,-1,1,-1,Loc,Econ+Glob,stan_models/master_model.stan,5165.95387939387,TRUE
hk,dinst1,-1,1,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,8142.300584730459,FALSE
hk,dinst1,0,1,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,2955.289306771476,FALSE
hk,dinst1,0,1,-1,Econ+Glob,Loc,stan_models/master_model.stan,5395.0039782873355,FALSE
hk,dinst1,0,1,-1,Econ+Loc,Glob,stan_models/master_model.stan,5581.054897578666,FALSE
hk,dinst1,0,1,-1,Glob+Loc,Econ,stan_models/master_model.stan,9125.94321232196,FALSE
hk,dinst1,0,1,-1,Econ,Glob+Loc,stan_models/master_model.stan,2248.6653890963644,FALSE
hk,dinst1,0,1,-1,Glob,Econ+Loc,stan_models/master_model.stan,6863.722248411039,FALSE
hk,dinst1,0,1,-1,Loc,Econ+Glob,stan_models/master_model.stan,7240.623780895956,TRUE
hk,dinst1,0,1,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,3579.532298181439,FALSE
hk,dinst1,1,1,-1,Econ+Glob+Loc,,stan_models/master_pos.stan,1610.69979829574,FALSE
hk,dinst1,1,1,-1,Econ+Glob,Loc,stan_models/master_model.stan,8185.899841601029,FALSE
hk,dinst1,1,1,-1,Econ+Loc,Glob,stan_models/master_model.stan,1268.064669039799,TRUE
hk,dinst1,1,1,-1,Glob+Loc,Econ,stan_models/master_model.stan,7689.222013774561,FALSE
hk,dinst1,1,1,-1,Econ,Glob+Loc,stan_models/master_model.stan,5442.069671571022,FALSE
hk,dinst1,1,1,-1,Glob,Econ+Loc,stan_models/master_model.stan,8183.869949990651,FALSE
hk,dinst1,1,1,-1,Loc,Econ+Glob,stan_models/master_model.stan,8557.5913176334,FALSE
hk,dinst1,1,1,-1,,Econ+Glob+Loc,stan_models/master_neg.stan,4135.656219062395,FALSE
hk,dinst1,-1,-1,0,Econ+Glob+Loc,,stan_models/master_pos.stan,7394.725870952243,FALSE
hk,dinst1,-1,-1,0,Econ+Glob,Loc,stan_models/master_model.stan,4619.300559613621,FALSE
hk,dinst1,-1,-1,0,Econ+Loc,Glob,stan_models/master_model.stan,2921.8163156835362,FALSE
hk,dinst1,-1,-1,0,Glob+Loc,Econ,stan_models/master_model.stan,7556.800758705707,FALSE
hk,dinst1,-1,-1,0,Econ,Glob+Loc,stan_models/master_model.stan,7919.982534377836,FALSE
hk,dinst1,-1,-1,0,Glob,Econ+Loc,stan_models/master_model.stan,4169.928943011211,FALSE
hk,dinst1,-1,-1,0,Loc,Econ+Glob,stan_models/master_model.stan,2954.4354694799986,FALSE
hk,dinst1,-1,-1,0,,Econ+Glob+Loc,stan_models/master_neg.stan,7105.0384875508025,TRUE
hk,dinst1,0,-1,0,Econ+Glob+Loc,,stan_models/master_pos.stan,7985.001034573186,FALSE
hk,dinst1,0,-1,0,Econ+Glob,Loc,stan_models/master_model.stan,6189.227799858199,FALSE
hk,dinst1,0,-1,0,Econ+Loc,Glob,stan_models/master_model.stan,5721.024626336992,FALSE
hk,dinst1,0,-1,0,Glob+Loc,Econ,stan_models/master_model.stan,7497.701492744731,FALSE
hk,dinst1,0,-1,0,Econ,Glob+Loc,stan_models/master_model.stan,870.6364999313373,FALSE
hk,dinst1,0,-1,0,Glob,Econ+Loc,stan_models/master_model.stan,2667.644915050594,FALSE
hk,dinst1,0,-1,0,Loc,Econ+Glob,stan_models/master_model.stan,3735.035171501804,FALSE
hk,dinst1,0,-1,0,,Econ+Glob+Loc,stan_models/master_neg.stan,9769.844101064838,TRUE
hk,dinst1,1,-1,0,Econ+Glob+Loc,,stan_models/master_pos.stan,757.6336881846655,FALSE
hk,dinst1,1,-1,0,Econ+Glob,Loc,stan_models/master_model.stan,2945.5242648895364,FALSE
hk,dinst1,1,-1,0,Econ+Loc,Glob,stan_models/master_model.stan,9435.012905015144,FALSE
hk,dinst1,1,-1,0,Glob+Loc,Econ,stan_models/master_model.stan,1165.7983111678623,FALSE
hk,dinst1,1,-1,0,Econ,Glob+Loc,stan_models/master_model.stan,4357.419731594389,TRUE
hk,dinst1,1,-1,0,Glob,Econ+Loc,stan_models/master_model.stan,7486.148427475477,FALSE
hk,dinst1,1,-1,0,Loc,Econ+Glob,stan_models/master_model.stan,3847.263235273538,FALSE
hk,dinst1,1,-1,0,,Econ+Glob+Loc,stan_models/master_neg.stan,8515.382931089494,FALSE
hk,dinst1,-1,0,0,Econ+Glob+Loc,,stan_models/master_pos.stan,7974.683182301233,FALSE
hk,dinst1,-1,0,0,Econ+Glob,Loc,stan_models/master_model.stan,3803.4034343734384,FALSE
hk,dinst1,-1,0,0,Econ+Loc,Glob,stan_models/master_model.stan,1688.7286540269852,FALSE
