m_pos_vars_CORRECT,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,m_stanfile_INCORRECT,seed.y,elpd_diff,se_diff
Loc,-1,1,-1,dinst1,hk,Econ+Glob,stan_models/master_model.stan,5489.432843771996,,Econ+Glob+Loc,stan_models/master_model.stan,5250.060550749302,-3.2658999954825223,2.2306977998119404
Loc,-1,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607861645287,Econ+Glob+Loc,,stan_models/master_model.stan,6937.26535562193,-3.2952414984744767,3.126975138584759
Loc,-1,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607861645287,Econ+Glob,Loc,stan_models/master_model.stan,9432.949596236227,-2.6019622192535863,3.305508967999559
Loc,-1,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607861645287,Econ+Loc,Glob,stan_models/master_model.stan,2821.2923113789875,-0.008353389653684928,1.5374702479096471
Loc,-1,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607861645287,Glob+Loc,Econ,stan_models/master_model.stan,4862.967382502975,-6.300786410841351,3.4078909831621766
Loc,-1,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607861645287,Econ,Glob+Loc,stan_models/master_model.stan,8218.210479083238,-0.813293666808601,1.9243768116513853
Loc,-1,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607861645287,Glob,Econ+Loc,stan_models/master_model.stan,5730.208138712915,-5.386544487865631,3.597322159999521
Loc,-1,1,0,dinst1,hk,Econ+Glob,stan_models/master_model.stan,9367.607861645287,,Econ+Glob+Loc,stan_models/master_model.stan,2111.025857147062,-1.0179874465527092,1.1764310773439706
Glob+Loc,-1,1,1,dinst1,hk,Econ,stan_models/master_model.stan,4207.321208765497,Econ+Glob+Loc,,stan_models/master_model.stan,1534.0481401148718,-1.6257911985047784,1.466817860363079
Glob+Loc,-1,1,1,dinst1,hk,Econ,stan_models/master_model.stan,4207.321208765497,Econ+Glob,Loc,stan_models/master_model.stan,7515.0239574310835,-0.6139203862572558,1.8649848104423223
Glob+Loc,-1,1,1,dinst1,hk,Econ,stan_models/master_model.stan,4207.321208765497,Econ+Loc,Glob,stan_models/master_model.stan,3936.151960717514,-1.1128684760386776,2.2868344359223927
Glob+Loc,-1,1,1,dinst1,hk,Econ,stan_models/master_model.stan,4207.321208765497,Econ,Glob+Loc,stan_models/master_model.stan,9577.09672249388,-0.1281257642946141,2.52611573684987
Glob+Loc,-1,1,1,dinst1,hk,Econ,stan_models/master_model.stan,4207.321208765497,Glob,Econ+Loc,stan_models/master_model.stan,9268.587550770491,-0.8638500047755926,1.1966261694351943
Glob+Loc,-1,1,1,dinst1,hk,Econ,stan_models/master_model.stan,4207.321208765497,Loc,Econ+Glob,stan_models/master_model.stan,7491.248833989259,-0.7782810806351126,1.3020673323130476
Glob+Loc,-1,1,1,dinst1,hk,Econ,stan_models/master_model.stan,4207.321208765497,,Econ+Glob+Loc,stan_models/master_model.stan,5052.985388108296,-1.640594321867603,1.784573967677406
,0,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361240845,Econ+Glob+Loc,,stan_models/master_model.stan,5956.80715557537,-4.638471219634033,3.029285455917103
,0,-1,-1,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361240845,Econ+Glob,Loc,stan_models/master_model.stan,6308.73827575543,-3.906676188418201,2.658201385107379
