m_pos_vars_CORRECT,d_coef_econ,econ_sign,d_coef_loc,loc_sign,d_coef_glob,glon_sign,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,INCOR_MOD_econ,INCOR_MOD_glob,INCOR_MOD_loc,econ_match,loc_match,glob_match,NUM_MATCHES,m_stanfile_INCORRECT,seed.y,elpd_diff,se_diff,num_zeroes
Glob+Loc,-1,neg,1,pos,1,pos,dinst1,hk,Econ,stan_models/master_model.stan,4207.321209,Econ+Glob+Loc,NA,pos,pos,pos,NO,MATCH,MATCH,2,stan_models/master_model.stan,1534.04814,-1.625791199,1.46681786,zero
Glob+Loc,-1,neg,1,pos,1,pos,dinst1,hk,Econ,stan_models/master_model.stan,4207.321209,Econ+Glob,Loc,pos,pos,neg,NO,NO,MATCH,1,stan_models/master_model.stan,7515.023957,-0.6139203863,1.86498481,zero
Glob+Loc,-1,neg,1,pos,1,pos,dinst1,hk,Econ,stan_models/master_model.stan,4207.321209,Econ+Loc,Glob,pos,neg,pos,NO,MATCH,NO,1,stan_models/master_model.stan,3936.151961,-1.112868476,2.286834436,zero
Glob+Loc,-1,neg,1,pos,1,pos,dinst1,hk,Econ,stan_models/master_model.stan,4207.321209,Econ,Glob+Loc,pos,neg,neg,NO,NO,NO,0,stan_models/master_model.stan,9577.096722,-0.1281257643,2.526115737,zero
Glob+Loc,-1,neg,1,pos,1,pos,dinst1,hk,Econ,stan_models/master_model.stan,4207.321209,Glob,Econ+Loc,neg,pos,neg,MATCH,NO,MATCH,2,stan_models/master_model.stan,9268.587551,-0.8638500048,1.196626169,zero
Glob+Loc,-1,neg,1,pos,1,pos,dinst1,hk,Econ,stan_models/master_model.stan,4207.321209,Loc,Econ+Glob,neg,neg,pos,MATCH,MATCH,NO,2,stan_models/master_model.stan,7491.248834,-0.7782810806,1.302067332,zero
Glob+Loc,-1,neg,1,pos,1,pos,dinst1,hk,Econ,stan_models/master_model.stan,4207.321209,NA,Econ+Glob+Loc,neg,neg,neg,MATCH,NO,NO,1,stan_models/master_model.stan,5052.985388,-1.640594322,1.784573968,zero
NA,0,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361,Econ+Glob+Loc,NA,pos,pos,pos,NO,NO,NO,0,stan_models/master_model.stan,5956.807156,-4.63847122,3.029285456,one
NA,0,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361,Econ+Glob,Loc,pos,pos,neg,NO,MATCH,NO,1,stan_models/master_model.stan,6308.738276,-3.906676188,2.658201385,one
NA,0,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361,Econ+Loc,Glob,pos,neg,pos,NO,NO,MATCH,1,stan_models/master_model.stan,5438.248108,-4.197490837,3.129898857,one
NA,0,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361,Glob+Loc,Econ,neg,pos,pos,MATCH,NO,NO,1,stan_models/master_model.stan,9649.132046,-1.505216902,2.019085809,one
NA,0,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361,Econ,Glob+Loc,pos,neg,neg,NO,MATCH,MATCH,2,stan_models/master_model.stan,893.7799099,-3.651528691,2.760421533,one
NA,0,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361,Glob,Econ+Loc,neg,pos,neg,MATCH,MATCH,NO,2,stan_models/master_model.stan,5585.169577,-1.84990987,1.57604299,one
NA,0,neg,-1,neg,-1,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,6905.579361,Loc,Econ+Glob,neg,neg,pos,MATCH,NO,MATCH,2,stan_models/master_model.stan,8911.33793,-0.2822309569,1.247750507,one
NA,0,neg,-1,neg,0,neg,dinst1,hk,Econ+Glob+Loc,stan_models/master_model.stan,8446.355914,Econ+Glob+Loc,NA,pos,pos,pos,NO,NO,NO,0,stan_models/master_model.stan,4706.191835,-6.609189578,3.13794866,two
