AB_Order,speaker_X,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,phone_X,language_X,triplet_id,distance_OTH,file_OTH,interval_OTH,item_OTH,language_OTH,offset_OTH,onset_OTH,phone_OTH,sex_OTH,speaker_OTH,word_OTH,distance_TGT,file_TGT,interval_TGT,item_TGT,language_TGT,offset_TGT,onset_TGT,phone_TGT,sex_TGT,speaker_TGT,word_TGT
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,57.22747,57.630109999999995,Mrajesh1_9,AGA,9,M,g,ENG,t_1171281,0.260095513696935,stimuli_raw/wav/Fsakshi2.wav,95,Fsakshi2_95,HIN,390.55,390.17,ɣ,False,Fsakshi,ARRA,0.235277185424445,stimuli_raw/wav/Fbhavya1.wav,8,Fbhavya1_8,ENG,58.61,58.22,g,False,Fbhavya,AGA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,34.74,35.22,Mnirbhay2_9,AGA,9,M,g,ENG,t_0295197,0.315527378605068,stimuli_raw/wav/Fbhavya2.wav,97,Fbhavya2_97,HIN,280.27596,279.87,x,False,Fbhavya,ARHA,0.289753634730277,stimuli_raw/wav/Fsakshi2.wav,9,Fsakshi2_9,ENG,55.01,54.52,g,False,Fsakshi,AGA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,55.35,55.77,Mrajesh1_8,AGA,8,M,g,ENG,t_1172984,0.352953234957881,stimuli_raw/wav/Fsakshi2.wav,97,Fsakshi2_97,HIN,399.17,398.79,x,False,Fsakshi,ARHA,0.26536079713717,stimuli_raw/wav/Fbhavya1.wav,9,Fbhavya1_9,ENG,60.69581,60.24,g,False,Fbhavya,AGA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,53.57,54.03,Mrajesh1_7,AGA,7,M,g,ENG,t_0586909,0.324107130144756,stimuli_raw/wav/Fsakshi1.wav,92,Fsakshi1_92,HIN,349.18,348.80067,ɽʱ,False,Fsakshi,ARTHA,0.256438418561937,stimuli_raw/wav/Fbhavya2.wav,8,Fbhavya2_8,ENG,31.77,31.39,g,False,Fbhavya,AGA
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,48.62,49.04,Mnirbhay1_9,AGA,9,M,g,ENG,t_1340823,0.362043293620393,stimuli_raw/wav/Fbhavya2.wav,101,Fbhavya2_101,HIN,289.79762,289.45027,ɽʱ,False,Fbhavya,ARTHA,0.232301661544235,stimuli_raw/wav/Fsakshi1.wav,9,Fsakshi1_9,ENG,48.16,47.72,g,False,Fsakshi,AGA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,34.74,35.22,Mnirbhay2_9,AGA,9,M,g,ENG,t_1338285,0.337074972829408,stimuli_raw/wav/Fbhavya1.wav,107,Fbhavya1_107,HIN,670.06589,669.71425,ɽ,False,Fbhavya,ARTA,0.236565804881185,stimuli_raw/wav/Fsakshi1.wav,7,Fsakshi1_7,ENG,43.75,43.3,g,False,Fsakshi,AGA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,53.57,54.03,Mrajesh1_7,AGA,7,M,g,ENG,t_0585265,0.202610954503267,stimuli_raw/wav/Fsakshi1.wav,95,Fsakshi1_95,HIN,359.28,358.94706,ɽ,False,Fsakshi,ARTA,0.244596614593324,stimuli_raw/wav/Fbhavya2.wav,7,Fbhavya2_7,ENG,29.4414,29.04,g,False,Fbhavya,AGA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,46.7,47.11,Mnirbhay1_8,AGA,8,M,g,ENG,t_1340042,0.323177471885154,stimuli_raw/wav/Fbhavya1.wav,110,Fbhavya1_110,HIN,687.63319,687.26899,ɳ,False,Fbhavya,ANRA,0.196694795905137,stimuli_raw/wav/Fsakshi1.wav,8,Fsakshi1_8,ENG,45.92,45.49,g,False,Fsakshi,AGA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,57.22747,57.630109999999995,Mrajesh1_9,AGA,9,M,g,ENG,t_1173093,0.343162892072265,stimuli_raw/wav/Fsakshi2.wav,106,Fsakshi2_106,HIN,433.28,432.93925,ɳ,False,Fsakshi,ANRA,0.245518781921319,stimuli_raw/wav/Fbhavya1.wav,9,Fbhavya1_9,ENG,60.69581,60.24,g,False,Fbhavya,AGA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay2.wav,43.01,43.54,Mnirbhay2_11,AGHA,11,M,ɡʱ,HIN,t_0301628,0.255128602225032,stimuli_raw/wav/Fbhavya2.wav,6,Fbhavya2_6,ENG,25.48153,25.03,kʰ,False,Fbhavya,AKHA,0.286162896438404,stimuli_raw/wav/Fsakshi2.wav,12,Fsakshi2_12,HIN,63.6,63.18,ɡʱ,False,Fsakshi,AGHA
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,70.14459000000001,70.56,Mrajesh1_10,AGHA,10,M,ɡʱ,HIN,t_0591553,0.250084787207327,stimuli_raw/wav/Fsakshi2.wav,6,Fsakshi2_6,ENG,43.74,43.29,kʰ,False,Fsakshi,AKHA,0.25903792829594,stimuli_raw/wav/Fbhavya2.wav,11,Fbhavya2_11,HIN,39.98945,39.61802,ɡʱ,False,Fbhavya,AGHA
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,73.69,74.05,Mrajesh1_12,AGHA,12,M,ɡʱ,HIN,t_0590487,0.312827737124858,stimuli_raw/wav/Fsakshi1.wav,7,Fsakshi1_7,ENG,43.75,43.3,g,False,Fsakshi,AGA,0.280623406625988,stimuli_raw/wav/Fbhavya2.wav,10,Fbhavya2_10,HIN,38.00178,37.60526,ɡʱ,False,Fbhavya,AGHA
OthTgt,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,62.668569999999995,63.11956,Mnirbhay1_10,AGHA,10,M,ɡʱ,HIN,t_1348441,0.303575395697712,stimuli_raw/wav/Fbhavya1.wav,7,Fbhavya1_7,ENG,56.61873,56.22,g,False,Fbhavya,AGA,0.242425881114402,stimuli_raw/wav/Fsakshi1.wav,12,Fsakshi1_12,HIN,56.63,56.2,ɡʱ,False,Fsakshi,AGHA
TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,66.42,66.86,Mnirbhay1_12,AGHA,12,M,ɡʱ,HIN,t_0302907,0.355341930729856,stimuli_raw/wav/Fbhavya1.wav,16,Fbhavya1_16,ENG,133.32595,132.92457,t͡ʃʰ,False,Fbhavya,ATXHA,0.258160116188798,stimuli_raw/wav/Fsakshi2.wav,12,Fsakshi2_12,HIN,63.6,63.18,ɡʱ,False,Fsakshi,AGHA
