m_pos_vars_CORRECT,d_coef_econ,d_coef_loc,d_coef_glob,d_id,d_experiment,m_neg_vars_CORRECT,m_stanfile_CORRECT,csv_filename.x,seed.x,m_pos_vars_INCORRECT,m_neg_vars_INCORRECT,m_stanfile_INCORRECT,csv_filename.y,seed.y,elpd_diff,se_diff,elpd_over_se
NA,0,-1,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,5291.324018778047,Loc,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_-1.csv,2175.529815826332,-1.156810049608552,0.894324298189881,-1.2935017554034305
NA,0,-1,0,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,6836.911072539398,Econ+Glob+Loc,NA,stan_models/master_pos.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,8872.690502126934,-1.0674412215081013,2.38074310493272,-0.4483647224668817
NA,0,-1,0,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,6836.911072539398,Econ+Glob,Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,3425.989946862217,-0.8520483928520584,2.1718136706786773,-0.3923211297338408
NA,0,-1,0,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,6836.911072539398,Econ+Loc,Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,3807.9549276924226,0.03691729869203719,2.001846153955783,0.01844162630534126
NA,0,-1,0,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,6836.911072539398,Glob+Loc,Econ,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,6725.0160234004725,-2.034389575501619,2.0909883699963183,-0.9729320376397889
NA,0,-1,0,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,6836.911072539398,Econ,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,2813.343274001032,0.392134117408629,1.5488719289107358,0.25317401012258156
NA,0,-1,0,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,6836.911072539398,Glob,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,7089.169415935874,-2.476880112939231,1.8990569403725452,-1.3042684820463213
NA,0,-1,0,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,6836.911072539398,Loc,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_-1_glob_0.csv,8381.098048442975,-0.3394541584823738,1.3285066620891781,-0.2555155861608976
NA,0,0,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,7646.690444052685,Econ+Glob+Loc,NA,stan_models/master_pos.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,9700.411189180566,-5.185501921336732,3.430502192910834,-1.511586825990848
NA,0,0,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,7646.690444052685,Econ+Glob,Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,2538.7916190286633,-4.257330964364357,2.739804252143493,-1.5538814355199364
NA,0,0,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,7646.690444052685,Econ+Loc,Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,8287.587126084603,-8.4779045904920185,4.201107681691605,-2.0180164929927082
NA,0,0,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,7646.690444052685,Glob+Loc,Econ,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,766.0816992504988,0.0775015491242641,1.8868341446166594,0.04107491341800462
NA,0,0,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,7646.690444052685,Econ,Glob+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,3992.5098105880897,-5.886671978830021,2.6781400053807802,-2.198044899446192
NA,0,0,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,7646.690444052685,Glob,Econ+Loc,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,1600.726896689972,-0.6613720244510741,1.3304765492919255,-0.4970940861776585
NA,0,0,-1,dinst2,hindi,Econ+Glob+Loc,stan_models/master_neg.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,7646.690444052685,Loc,Econ+Glob,stan_models/master_model.stan,hindi/dinst2/econ_0_loc_0_glob_-1.csv,228.22357382485643,0.7081773925116988,1.3682549750693274,0.5175770637894567
