#file onset offset #item word
raw_data/wav/FNiralee2.wav 319.77 320.22 FNiralee2_79 AVLA
raw_data/wav/FNiralee2.wav 322.11 322.55 FNiralee2_80 AVLA
raw_data/wav/FNiralee2.wav 324.53 325.01 FNiralee2_81 AVLA
raw_data/wav/FNiralee2.wav 330.92 331.40632 FNiralee2_82 AXA
raw_data/wav/FNiralee2.wav 333.35 333.84978 FNiralee2_83 AXA
raw_data/wav/FNiralee2.wav 335.74 336.21 FNiralee2_84 AXA
raw_data/wav/FNiralee2.wav 339.06848 339.59859 FNiralee2_85 AXRA
raw_data/wav/FNiralee2.wav 341.35201 341.88794 FNiralee2_86 AXRA
raw_data/wav/FNiralee2.wav 343.79865 344.32293 FNiralee2_87 AXRA
raw_data/wav/FNiralee2.wav 347.6 348.08424 FNiralee2_88 ASA
raw_data/wav/FNiralee2.wav 350.17028 350.62834 FNiralee2_89 ASA
raw_data/wav/FNiralee2.wav 352.67105 353.17863 FNiralee2_90 ASA
raw_data/wav/FNiralee2.wav 357.27 357.75 FNiralee2_91 AHHA
raw_data/wav/FNiralee2.wav 359.61024 360.1 FNiralee2_92 AHHA
raw_data/wav/FNiralee2.wav 362.16167 362.66 FNiralee2_93 AHHA
raw_data/wav/FNiralee2.wav 365.78367 366.29 FNiralee2_94 ARRA
raw_data/wav/FNiralee2.wav 368.24321 368.75826 FNiralee2_95 ARRA
raw_data/wav/FNiralee2.wav 370.59858 371.11363 FNiralee2_96 ARRA
raw_data/wav/FNiralee2.wav 374.84859 375.36778 FNiralee2_97 ARHA
raw_data/wav/FNiralee2.wav 377.17067 377.68896 FNiralee2_98 ARHA
raw_data/wav/FNiralee2.wav 379.54083 380.12518 FNiralee2_99 ARHA
raw_data/wav/FNiralee2.wav 385.26014 385.73313 FNiralee2_100 ARTHA
raw_data/wav/FNiralee2.wav 387.58306 388.05287 FNiralee2_101 ARTHA
raw_data/wav/FNiralee2.wav 389.88054 390.36287 FNiralee2_102 ARTHA
raw_data/wav/FNiralee2.wav 396.54195 396.95617 FNiralee2_103 ARTA
raw_data/wav/FNiralee2.wav 398.96571 399.37433 FNiralee2_104 ARTA
raw_data/wav/FNiralee2.wav 401.4192 401.84287 FNiralee2_105 ARTA
raw_data/wav/FNiralee2.wav 404.86421 405.25726 FNiralee2_106 ANRA
raw_data/wav/FNiralee2.wav 406.98305 407.46444 FNiralee2_107 ANRA
raw_data/wav/FNiralee2.wav 409.34166 409.81447 FNiralee2_108 ANRA
raw_data/wav/Fsakshi2.wav 30.49 30.91 Fsakshi2_1 AKA
raw_data/wav/Fsakshi2.wav 32.49 32.87 Fsakshi2_2 AKA
raw_data/wav/Fsakshi2.wav 34.69 35.12 Fsakshi2_3 AKA
raw_data/wav/Fsakshi2.wav 38.65 39.07 Fsakshi2_4 AKHA
raw_data/wav/Fsakshi2.wav 40.94 41.4 Fsakshi2_5 AKHA
raw_data/wav/Fsakshi2.wav 43.29 43.74 Fsakshi2_6 AKHA
raw_data/wav/Fsakshi2.wav 50.35 50.78 Fsakshi2_7 AGA
raw_data/wav/Fsakshi2.wav 52.38 52.78 Fsakshi2_8 AGA
raw_data/wav/Fsakshi2.wav 54.52 55.01 Fsakshi2_9 AGA
raw_data/wav/Fsakshi2.wav 58.97 59.4 Fsakshi2_10 AGHA
raw_data/wav/Fsakshi2.wav 61.02 61.46 Fsakshi2_11 AGHA
raw_data/wav/Fsakshi2.wav 63.18 63.6 Fsakshi2_12 AGHA
raw_data/wav/Fsakshi2.wav 70.81894 71.11 Fsakshi2_13 ATXA
raw_data/wav/Fsakshi2.wav 72.8 73.13 Fsakshi2_14 ATXA
raw_data/wav/Fsakshi2.wav 74.96 75.24 Fsakshi2_15 ATXA
raw_data/wav/Fsakshi2.wav 83.87406 84.29 Fsakshi2_16 ATXHA
raw_data/wav/Fsakshi2.wav 86.16 86.43 Fsakshi2_17 ATXHA
raw_data/wav/Fsakshi2.wav 88.17 88.61 Fsakshi2_18 ATXHA
raw_data/wav/Fsakshi2.wav 94.93 95.19 Fsakshi2_19 ADXA
raw_data/wav/Fsakshi2.wav 97.1 97.48 Fsakshi2_20 ADXA
raw_data/wav/Fsakshi2.wav 99.39 99.77 Fsakshi2_21 ADXA
raw_data/wav/Fsakshi2.wav 106.54 106.81 Fsakshi2_22 AZA
raw_data/wav/Fsakshi2.wav 108.89 109.31 Fsakshi2_23 AZA
raw_data/wav/Fsakshi2.wav 111.35 111.58 Fsakshi2_24 AZA
raw_data/wav/Fsakshi2.wav 116.79986 117.1 Fsakshi2_25 ADXHA
raw_data/wav/Fsakshi2.wav 118.94 119.21 Fsakshi2_26 ADXHA
raw_data/wav/Fsakshi2.wav 121.12636 121.44 Fsakshi2_27 ADXHA
raw_data/wav/Fsakshi2.wav 129.65566 129.96 Fsakshi2_28 ATRA
raw_data/wav/Fsakshi2.wav 131.80583 132.11 Fsakshi2_29 ATRA
raw_data/wav/Fsakshi2.wav 133.93 134.35 Fsakshi2_30 ATRA
raw_data/wav/Fsakshi2.wav 141.42 141.86 Fsakshi2_31 ATRHA
raw_data/wav/Fsakshi2.wav 143.61 143.98 Fsakshi2_32 ATRHA
raw_data/wav/Fsakshi2.wav 145.65575 146.02 Fsakshi2_33 ATRHA
raw_data/wav/Fsakshi2.wav 153.93255 154.25 Fsakshi2_34 ADRA
raw_data/wav/Fsakshi2.wav 155.99412 156.35 Fsakshi2_35 ADRA
raw_data/wav/Fsakshi2.wav 158.2176 158.51 Fsakshi2_36 ADRA
raw_data/wav/Fsakshi2.wav 165.06857 165.41 Fsakshi2_37 ADRA
raw_data/wav/Fsakshi2.wav 167.24135 167.59 Fsakshi2_38 ADRA
raw_data/wav/Fsakshi2.wav 169.91 170.32 Fsakshi2_39 ADRA
raw_data/wav/Fsakshi2.wav 177.79 178.19 Fsakshi2_40 ATA
