CORR_ANS,item_TGT,item_OTH,item_X,tripletid,file_TGT,onset_TGT,offset_TGT,word_TGT,speaker_TGT,CV_TGT,context_TGT,phone_TGT,file_OTH,onset_OTH,offset_OTH,word_OTH,speaker_OTH,CV_OTH,context_OTH,phone_OTH,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X
B,amelia_vowels_1,amelia_vowels_11,ewan_2,stimulus57_B,amelia_vowels.wav,2.19827,2.9625,HADAH,amelia,V,A,ɑ,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,ewan.wav,6.19383,7.0825,HADAH,ewan,V,A,ɑ
A,amelia_vowels_48,amelia_vowels_5,ewan_46,stimulus58_A,amelia_vowels.wav,123.87499,124.5925,WHODI,amelia,V,I,u,amelia_vowels.wav,12.5659,13.30968,HADI,amelia,V,I,ɑ,ewan.wav,134.9925,135.7425,WHODI,ewan,V,I,u
A,ewan_10,ewan_19,amelia_vowels_11,stimulus59_A,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ
B,ewan_14,ewan_21,amelia_vowels_15,stimulus60_B,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ
B,amelia_vowels_22,amelia_vowels_15,ewan_21,stimulus61_B,amelia_vowels.wav,57.64913,58.41293,HEEDI,amelia,V,I,i,amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i
A,amelia_vowels_17,amelia_vowels_11,ewan_19,stimulus62_A,amelia_vowels.wav,44.25247,45.0725,HEEDAH,amelia,V,A,i,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,ewan.wav,54.4125,55.1725,HEEDAH,ewan,V,A,i
A,amelia_vowels_11,amelia_vowels_33,ewan_10,stimulus63_A,amelia_vowels.wav,27.47216,28.2425,HAEDAH,amelia,V,A,æ,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ
B,amelia_vowels_15,amelia_vowels_39,ewan_14,stimulus64_B,amelia_vowels.wav,37.6934,38.4725,HAEDI,amelia,V,I,æ,amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ
B,ewan_37,ewan_14,amelia_vowels_39,stimulus65_B,ewan.wav,109.0925,109.8025,HOODI,ewan,V,I,ʊ,ewan.wav,40.24068,40.9225,HAEDI,ewan,V,I,æ,amelia_vowels.wav,101.46732,102.16942,HOODI,amelia,V,I,ʊ
A,ewan_34,ewan_10,amelia_vowels_33,stimulus66_A,ewan.wav,99.9925,100.7325,HOODAH,ewan,V,A,ʊ,ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ
