CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,context_OTH,CV_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,context_TGT,CV_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
B,ewan_45,stimulus47_B,stimuli/raw/ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u,0.418261725534394,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI,0.31981365569871,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_45,117.88562,117.13683,u,amelia,WHODI
A,ewan_63,stimulus132_A,stimuli/raw/ewan.wav,187.7525,188.3425,EETEE,ewan,C,I,t,0.273548118021865,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE,0.299148346581174,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_15,39.6784,39.06797,t,amelia,EETEE
B,ewan_63,stimulus139_B,stimuli/raw/ewan.wav,187.7525,188.3425,EETEE,ewan,C,I,t,0.339228458433338,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_38,102.63328,101.9725,s,amelia,EESSEE,0.299148346581174,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_15,39.6784,39.06797,t,amelia,EETEE
A,ewan_84,stimulus137_A,stimuli/raw/ewan.wav,246.8625,247.3725,ASSAH,ewan,C,A,s,0.336770903788692,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH,0.299715979225342,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_36,96.8425,96.17157,s,amelia,ASSAH
B,amelia_consonants_10,stimulus131_B,stimuli/raw/amelia_consonants.wav,25.79256,26.41988,ATAH,amelia,C,A,t,0.32532345247694,A,C,stimuli/raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH,0.317317104298793,A,C,stimuli/raw/ewan.wav,ewan_58,175.0425,174.5225,t,ewan,ATAH
A,amelia_vowels_22,stimulus37_A,stimuli/raw/amelia_vowels.wav,57.64913000000001,58.41293,HEEDI,amelia,V,I,i,0.373122770515624,I,V,stimuli/raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI,0.303282844860202,I,V,stimuli/raw/ewan.wav,ewan_22,64.2525,63.5825,i,ewan,HEEDI
A,ewan_102,stimulus141_A,stimuli/raw/ewan.wav,292.5625,293.1425,EETHEE,ewan,C,I,θ,0.317513289608874,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_15,39.6784,39.06797,t,amelia,EETEE,0.270685845999838,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_54,143.47846,142.7325,θ,amelia,EETHEE
A,ewan_98,stimulus136_A,stimuli/raw/ewan.wav,282.1625,282.7725,ATHAH,ewan,C,A,θ,0.328747879134915,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_36,96.8425,96.17157,s,amelia,ASSAH,0.332169953936752,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_50,132.8825,132.2225,θ,amelia,ATHAH
A,amelia_vowels_18,stimulus45_A,stimuli/raw/amelia_vowels.wav,46.44523,47.1525,HEEDAH,amelia,V,A,i,0.392089354937704,A,V,stimuli/raw/ewan.wav,ewan_41,121.8625,121.1525,u,ewan,WHODAH,0.322203509718644,A,V,stimuli/raw/ewan.wav,ewan_18,52.3425,51.6225,i,ewan,HEEDAH
B,ewan_18,stimulus46_B,stimuli/raw/ewan.wav,51.6225,52.3425,HEEDAH,ewan,V,A,i,0.41326938228446,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH,0.322203509718644,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_18,47.1525,46.44523,i,amelia,HEEDAH
B,amelia_consonants_36,stimulus134_B,stimuli/raw/amelia_consonants.wav,96.17156999999999,96.8425,ASSAH,amelia,C,A,s,0.328747879134915,A,C,stimuli/raw/ewan.wav,ewan_98,282.7725,282.1625,θ,ewan,ATHAH,0.299715979225342,A,C,stimuli/raw/ewan.wav,ewan_84,247.3725,246.8625,s,ewan,ASSAH
A,amelia_consonants_30,stimulus81_A,stimuli/raw/amelia_consonants.wav,80.3525,81.0525,EEFEE,amelia,C,I,f,0.318461334913687,I,C,stimuli/raw/ewan.wav,ewan_63,188.3425,187.7525,t,ewan,EETEE,0.285111074304766,I,C,stimuli/raw/ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE
A,ewan_70,stimulus89_A,stimuli/raw/ewan.wav,208.1525,208.7325,EEKEE,ewan,C,I,k,0.277259289675896,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_47,124.8925,124.1225,ʃ,amelia,EESHEE,0.287747263777076,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_22,59.67452,58.98421,k,amelia,EEKEE
A,ewan_70,stimulus93_A,stimuli/raw/ewan.wav,208.1525,208.7325,EEKEE,ewan,C,I,k,0.302485339312622,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_39,104.88504,104.21429,s,amelia,EESSEE,0.287747263777076,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_22,59.67452,58.98421,k,amelia,EEKEE
B,ewan_82,stimulus95_B,stimuli/raw/ewan.wav,241.7525,242.2825,ASSAH,ewan,C,A,s,0.33347555525103,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH,0.317189908824894,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,amelia_vowels_22,stimulus41_A,stimuli/raw/amelia_vowels.wav,57.64913000000001,58.41293,HEEDI,amelia,V,I,i,0.370130045724353,I,V,stimuli/raw/ewan.wav,ewan_29,86.1325,85.39155,ʌ,ewan,HUHDI,0.303282844860202,I,V,stimuli/raw/ewan.wav,ewan_22,64.2525,63.5825,i,ewan,HEEDI
A,ewan_58,stimulus144_A,stimuli/raw/ewan.wav,174.5225,175.0425,ATAH,ewan,C,A,t,0.341315025285686,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_52,137.43495,136.7525,θ,amelia,ATHAH,0.317317104298793,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH
A,ewan_10,stimulus33_A,stimuli/raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,0.406387544403914,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_41,107.96148,107.22875,u,amelia,WHODAH,0.307980308161845,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_10,26.0725,25.31,æ,amelia,HAEDAH
A,amelia_consonants_38,stimulus133_A,stimuli/raw/amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,0.297427747104129,I,C,stimuli/raw/ewan.wav,ewan_103,295.6425,295.1025,θ,ewan,EETHEE,0.286838162843868,I,C,stimuli/raw/ewan.wav,ewan_86,252.5325,252.0025,s,ewan,EESSEE
B,amelia_vowels_33,stimulus39_B,stimuli/raw/amelia_vowels.wav,87.27244,88.0325,HOODAH,amelia,V,A,ʊ,0.396348733064015,A,V,stimuli/raw/ewan.wav,ewan_18,52.3425,51.6225,i,ewan,HEEDAH,0.350897199506779,A,V,stimuli/raw/ewan.wav,ewan_33,98.1925,97.48359,ʊ,ewan,HOODAH
A,ewan_50,stimulus88_A,stimuli/raw/ewan.wav,152.8525,153.4425,APAH,ewan,C,A,p,0.368315349792755,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH,0.298002005429309,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_2,5.58607,5.00997,p,amelia,APAH
B,ewan_90,stimulus91_B,stimuli/raw/ewan.wav,261.8925,262.4725,ASHAH,ewan,C,A,ʃ,0.343253408964722,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_20,53.6525,53.0271,k,amelia,AKAH,0.291436401252344,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_42,112.9325,112.2325,ʃ,amelia,ASHAH
A,amelia_vowels_45,stimulus48_A,stimuli/raw/amelia_vowels.wav,117.13683,117.88561999999999,WHODI,amelia,V,I,u,0.344265723602963,I,V,stimuli/raw/ewan.wav,ewan_22,64.2525,63.5825,i,ewan,HEEDI,0.31981365569871,I,V,stimuli/raw/ewan.wav,ewan_45,133.1225,132.37364,u,ewan,WHODI
A,ewan_33,stimulus40_A,stimuli/raw/ewan.wav,97.48359,98.1925,HOODAH,ewan,V,A,ʊ,0.430221807685221,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_18,47.1525,46.44523,i,amelia,HEEDAH,0.350269084456829,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH
B,amelia_consonants_10,stimulus143_B,stimuli/raw/amelia_consonants.wav,25.79256,26.41988,ATAH,amelia,C,A,t,0.325301166710615,A,C,stimuli/raw/ewan.wav,ewan_100,287.7725,287.2125,θ,ewan,ATHAH,0.317317104298793,A,C,stimuli/raw/ewan.wav,ewan_58,175.0425,174.5225,t,ewan,ATAH
A,amelia_consonants_10,stimulus140_A,stimuli/raw/amelia_consonants.wav,25.79256,26.41988,ATAH,amelia,C,A,t,0.337175392132549,A,C,stimuli/raw/ewan.wav,ewan_84,247.3725,246.8625,s,ewan,ASSAH,0.317317104298793,A,C,stimuli/raw/ewan.wav,ewan_58,175.0425,174.5225,t,ewan,ATAH
A,amelia_consonants_10,stimulus84_A,stimuli/raw/amelia_consonants.wav,25.79256,26.41988,ATAH,amelia,C,A,t,0.356816964086095,A,C,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,0.317317104298793,A,C,stimuli/raw/ewan.wav,ewan_58,175.0425,174.5225,t,ewan,ATAH
A,amelia_consonants_34,stimulus96_A,stimuli/raw/amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,0.321994775945316,A,C,stimuli/raw/ewan.wav,ewan_68,201.7625,201.2425,k,ewan,AKAH,0.317189908824894,A,C,stimuli/raw/ewan.wav,ewan_82,242.2825,241.7525,s,ewan,ASSAH
B,amelia_consonants_38,stimulus138_B,stimuli/raw/amelia_consonants.wav,101.9725,102.63328,EESSEE,amelia,C,I,s,0.339228458433338,I,C,stimuli/raw/ewan.wav,ewan_63,188.3425,187.7525,t,ewan,EETEE,0.286838162843868,I,C,stimuli/raw/ewan.wav,ewan_86,252.5325,252.0025,s,ewan,EESSEE
A,amelia_consonants_22,stimulus85_A,stimuli/raw/amelia_consonants.wav,58.98421,59.674519999999994,EEKEE,amelia,C,I,k,0.298060534447422,I,C,stimuli/raw/ewan.wav,ewan_55,166.9025,166.2925,p,ewan,EEPEE,0.287747263777076,I,C,stimuli/raw/ewan.wav,ewan_70,208.7325,208.1525,k,ewan,EEKEE
A,amelia_vowels_25,stimulus44_A,stimuli/raw/amelia_vowels.wav,66.85124,67.6025,HUHDAH,amelia,V,A,ʌ,0.392970362182042,A,V,stimuli/raw/ewan.wav,ewan_18,52.3425,51.6225,i,ewan,HEEDAH,0.320174558708622,A,V,stimuli/raw/ewan.wav,ewan_25,73.8125,73.0025,ʌ,ewan,HUHDAH
B,amelia_vowels_45,stimulus35_B,stimuli/raw/amelia_vowels.wav,117.13683,117.88561999999999,WHODI,amelia,V,I,u,0.361894396149111,I,V,stimuli/raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI,0.31981365569871,I,V,stimuli/raw/ewan.wav,ewan_45,133.1225,132.37364,u,ewan,WHODI
B,ewan_92,stimulus130_B,stimuli/raw/ewan.wav,266.7625,267.2825,ASHAH,ewan,C,A,ʃ,0.32532345247694,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH,0.289074282423926,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_44,117.1625,116.4925,ʃ,amelia,ASHAH
B,ewan_22,stimulus42_B,stimuli/raw/ewan.wav,63.5825,64.2525,HEEDI,ewan,V,I,i,0.416551198770387,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_29,77.88257,77.21549,ʌ,amelia,HUHDI,0.29163707508999,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_22,58.41293,57.64913,i,amelia,HEEDI
B,amelia_vowels_37,stimulus27_B,stimuli/raw/amelia_vowels.wav,97.03204000000001,97.7525,HOODI,amelia,V,I,ʊ,0.364582883728013,I,V,stimuli/raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI,0.324582101551292,I,V,stimuli/raw/ewan.wav,ewan_37,109.8025,109.0925,ʊ,ewan,HOODI
B,amelia_consonants_39,stimulus123_B,stimuli/raw/amelia_consonants.wav,104.21429,104.88503999999999,EESSEE,amelia,C,I,s,0.297754829625567,I,C,stimuli/raw/ewan.wav,ewan_94,272.5425,271.9525,ʃ,ewan,EESHEE,0.277343742075727,I,C,stimuli/raw/ewan.wav,ewan_87,255.0425,254.4625,s,ewan,EESSEE
B,ewan_87,stimulus75_B,stimuli/raw/ewan.wav,254.4625,255.0425,EESSEE,ewan,C,I,s,0.303178538712391,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE,0.277343742075727,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_39,104.88504,104.21429,s,amelia,EESSEE
B,amelia_consonants_2,stimulus67_B,stimuli/raw/amelia_consonants.wav,5.00997,5.586069999999999,APAH,amelia,C,A,p,0.319996998386908,A,C,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,0.298002005429309,A,C,stimuli/raw/ewan.wav,ewan_50,153.4425,152.8525,p,ewan,APAH
A,amelia_vowels_10,stimulus21_A,stimuli/raw/amelia_vowels.wav,25.31,26.0725,HAEDAH,amelia,V,A,æ,0.406600654207981,A,V,stimuli/raw/ewan.wav,ewan_17,49.8125,49.0225,i,ewan,HEEDAH,0.30844533350755,A,V,stimuli/raw/ewan.wav,ewan_10,29.4125,28.6807,æ,ewan,HAEDAH
A,ewan_82,stimulus124_A,stimuli/raw/ewan.wav,241.7525,242.2825,ASSAH,ewan,C,A,s,0.326404977450892,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_44,117.1625,116.4925,ʃ,amelia,ASHAH,0.317189908824894,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH
A,amelia_consonants_55,stimulus80_A,stimuli/raw/amelia_consonants.wav,145.1325,145.8925,EETHEE,amelia,C,I,θ,0.267215580289147,I,C,stimuli/raw/ewan.wav,ewan_78,231.0925,230.5525,f,ewan,EEFEE,0.271871040751538,I,C,stimuli/raw/ewan.wav,ewan_103,295.6425,295.1025,θ,ewan,EETHEE
A,ewan_45,stimulus20_A,stimuli/raw/ewan.wav,132.37364,133.1225,WHODI,ewan,V,I,u,0.361210890332769,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_6,15.5725,14.8025,ɑ,amelia,HADI,0.31981365569871,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_45,117.88562,117.13683,u,amelia,WHODI
A,amelia_consonants_28,stimulus69_A,stimuli/raw/amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,0.32055111774399,A,C,stimuli/raw/ewan.wav,ewan_90,262.4725,261.8925,ʃ,ewan,ASHAH,0.33276964009553,A,C,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
A,amelia_vowels_6,stimulus17_A,stimuli/raw/amelia_vowels.wav,14.8025,15.5725,HADI,amelia,V,I,ɑ,0.361210890332769,I,V,stimuli/raw/ewan.wav,ewan_45,133.1225,132.37364,u,ewan,WHODI,0.300838967292525,I,V,stimuli/raw/ewan.wav,ewan_6,18.1025,17.36061,ɑ,ewan,HADI
B,ewan_54,stimulus114_B,stimuli/raw/ewan.wav,163.7625,164.3725,EEPEE,ewan,C,I,p,0.29811029404334,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE,0.299514676005958,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_6,16.26261,15.68234,p,amelia,EEPEE
A,amelia_consonants_50,stimulus116_A,stimuli/raw/amelia_consonants.wav,132.2225,132.8825,ATHAH,amelia,C,A,θ,0.345965176792846,A,C,stimuli/raw/ewan.wav,ewan_52,158.9425,158.3825,p,ewan,APAH,0.332169953936752,A,C,stimuli/raw/ewan.wav,ewan_98,282.7725,282.1625,θ,ewan,ATHAH
B,ewan_10,stimulus30_B,stimuli/raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,0.358368190819955,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_25,67.6025,66.85124,ʌ,amelia,HUHDAH,0.307980308161845,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_10,26.0725,25.31,æ,amelia,HAEDAH
A,amelia_vowels_29,stimulus32_A,stimuli/raw/amelia_vowels.wav,77.21549,77.88257,HUHDI,amelia,V,I,ʌ,0.312079602415531,I,V,stimuli/raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI,0.330086133856375,I,V,stimuli/raw/ewan.wav,ewan_29,86.1325,85.39155,ʌ,ewan,HUHDI
A,ewan_17,stimulus24_A,stimuli/raw/ewan.wav,49.0225,49.8125,HEEDAH,ewan,V,A,i,0.406600654207981,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_10,26.0725,25.31,æ,amelia,HAEDAH,0.332966047028067,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_17,45.0725,44.25247,i,amelia,HEEDAH
A,amelia_consonants_34,stimulus76_A,stimuli/raw/amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,0.334677355358322,A,C,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,0.317189908824894,A,C,stimuli/raw/ewan.wav,ewan_82,242.2825,241.7525,s,ewan,ASSAH
B,amelia_consonants_28,stimulus78_B,stimuli/raw/amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,0.323011397876868,A,C,stimuli/raw/ewan.wav,ewan_98,282.7725,282.1625,θ,ewan,ATHAH,0.33276964009553,A,C,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
A,ewan_10,stimulus25_A,stimuli/raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,0.401640265473728,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH,0.307980308161845,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_10,26.0725,25.31,æ,amelia,HAEDAH
B,ewan_21,stimulus23_B,stimuli/raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,0.378832529360699,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_14,36.2991,35.597,æ,amelia,HAEDI,0.325911150514844,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_21,56.1625,55.37294,i,amelia,HEEDI
A,ewan_58,stimulus120_A,stimuli/raw/ewan.wav,174.5225,175.0425,ATAH,ewan,C,A,t,0.312190184866052,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_4,10.17064,9.59178,p,amelia,APAH,0.317317104298793,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH
B,ewan_78,stimulus66_B,stimuli/raw/ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,0.355356241481836,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE,0.285111074304766,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE
A,ewan_76,stimulus77_A,stimuli/raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,0.324488303021103,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_50,132.8825,132.2225,θ,amelia,ATHAH,0.331762991404855,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH
A,ewan_103,stimulus128_A,stimuli/raw/ewan.wav,295.1025,295.6425,EETHEE,ewan,C,I,θ,0.258035839328313,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_46,122.6025,121.8625,ʃ,amelia,EESHEE,0.271871040751538,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_55,145.8925,145.1325,θ,amelia,EETHEE
B,amelia_vowels_41,stimulus19_B,stimuli/raw/amelia_vowels.wav,107.22875,107.96148000000001,WHODAH,amelia,V,A,u,0.376188883488214,A,V,stimuli/raw/ewan.wav,ewan_2,7.0825,6.19383,ɑ,ewan,HADAH,0.325274023057048,A,V,stimuli/raw/ewan.wav,ewan_41,121.8625,121.1525,u,ewan,WHODAH
B,ewan_76,stimulus74_B,stimuli/raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,0.332053266960321,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_34,92.1125,91.35499,s,amelia,ASSAH,0.331762991404855,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH
B,amelia_consonants_10,stimulus119_B,stimuli/raw/amelia_consonants.wav,25.79256,26.41988,ATAH,amelia,C,A,t,0.349641868205136,A,C,stimuli/raw/ewan.wav,ewan_52,158.9425,158.3825,p,ewan,APAH,0.317317104298793,A,C,stimuli/raw/ewan.wav,ewan_58,175.0425,174.5225,t,ewan,ATAH
B,amelia_consonants_50,stimulus127_B,stimuli/raw/amelia_consonants.wav,132.2225,132.8825,ATHAH,amelia,C,A,θ,0.307416580195654,A,C,stimuli/raw/ewan.wav,ewan_92,267.2825,266.7625,ʃ,ewan,ASHAH,0.332169953936752,A,C,stimuli/raw/ewan.wav,ewan_98,282.7725,282.1625,θ,ewan,ATHAH
