CORR_ANS,item_X,tripletid,file_X,onset_X,offset_X,word_X,speaker_X,CV_X,context_X,phone_X,distance_OTH,context_OTH,CV_OTH,file_OTH,item_OTH,offset_OTH,onset_OTH,phone_OTH,speaker_OTH,word_OTH,distance_TGT,context_TGT,CV_TGT,file_TGT,item_TGT,offset_TGT,onset_TGT,phone_TGT,speaker_TGT,word_TGT
B,ewan_10,stimulus30_B,stimuli/raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,0.256098584073789,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_25,67.6025,66.85124,ʌ,amelia,HUHDAH,0.221411426604013,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_10,26.0725,25.31,æ,amelia,HAEDAH
A,amelia_vowels_29,stimulus32_A,stimuli/raw/amelia_vowels.wav,77.21549,77.88257,HUHDI,amelia,V,I,ʌ,0.248212860524726,I,V,stimuli/raw/ewan.wav,ewan_14,40.9225,40.24068,æ,ewan,HAEDI,0.244579147714411,I,V,stimuli/raw/ewan.wav,ewan_29,86.1325,85.39155,ʌ,ewan,HUHDI
A,ewan_17,stimulus24_A,stimuli/raw/ewan.wav,49.0225,49.8125,HEEDAH,ewan,V,A,i,0.314002987179516,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_10,26.0725,25.31,æ,amelia,HAEDAH,0.253536247854115,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_17,45.0725,44.25247,i,amelia,HEEDAH
A,amelia_consonants_34,stimulus76_A,stimuli/raw/amelia_consonants.wav,91.35499,92.1125,ASSAH,amelia,C,A,s,0.255593706079232,A,C,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH,0.254631715958187,A,C,stimuli/raw/ewan.wav,ewan_82,242.2825,241.7525,s,ewan,ASSAH
B,amelia_consonants_28,stimulus78_B,stimuli/raw/amelia_consonants.wav,74.47714,75.17926,AFAH,amelia,C,A,f,0.261909394862378,A,C,stimuli/raw/ewan.wav,ewan_98,282.7725,282.1625,θ,ewan,ATHAH,0.259299014463084,A,C,stimuli/raw/ewan.wav,ewan_76,224.8825,224.3325,f,ewan,AFAH
A,ewan_10,stimulus25_A,stimuli/raw/ewan.wav,28.6807,29.4125,HAEDAH,ewan,V,A,æ,0.33020695599729,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_33,88.0325,87.27244,ʊ,amelia,HOODAH,0.221411426604013,A,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_10,26.0725,25.31,æ,amelia,HAEDAH
B,ewan_21,stimulus23_B,stimuli/raw/ewan.wav,60.9271,61.7525,HEEDI,ewan,V,I,i,0.348625972132836,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_14,36.2991,35.597,æ,amelia,HAEDI,0.251015872744313,I,V,stimuli/raw/amelia_vowels.wav,amelia_vowels_21,56.1625,55.37294,i,amelia,HEEDI
A,ewan_58,stimulus120_A,stimuli/raw/ewan.wav,174.5225,175.0425,ATAH,ewan,C,A,t,0.272090614013909,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_4,10.17064,9.59178,p,amelia,APAH,0.284200739961684,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_10,26.41988,25.79256,t,amelia,ATAH
B,ewan_78,stimulus66_B,stimuli/raw/ewan.wav,230.5525,231.0925,EEFEE,ewan,C,I,f,0.315263888375468,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_7,18.54394,17.98056,p,amelia,EEPEE,0.287107409533448,I,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_30,81.0525,80.3525,f,amelia,EEFEE
A,ewan_76,stimulus77_A,stimuli/raw/ewan.wav,224.3325,224.8825,AFAH,ewan,C,A,f,0.236371345570276,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_50,132.8825,132.2225,θ,amelia,ATHAH,0.258636858437293,A,C,stimuli/raw/amelia_consonants.wav,amelia_consonants_28,75.17926,74.47714,f,amelia,AFAH
